"subject","CHILDCARE_ARRANGEMENT","homebased_daycare_yn","licensed_provider_yn"
"26-3811290","Care in child’s home by a non-relative","Yes","Yes"
"26-1352800","Daycare (centre-based or home-based)","No","No"
"26-1867280","Care in child’s home by a non-relative","No","Yes"
"26-3821931","Care in child’s home by a non-relative","Yes","Yes"
"26-3813902","Care in child’s home by a non-relative","Yes","No"
"26-2526690","Care in someone’s home by a non-relative","No","No"
"26-2518355","Care by a relative","No","No"
"26-2492823","Care in child’s home by a non-relative","Yes","No"
"26-1868588","Care by a relative","No","Yes"
"26-1369921","Care by a relative","Yes","Yes"
"26-2532012","Care by a relative","Yes","No"
"26-1399936","Daycare (centre-based or home-based)","Yes","Yes"
"26-1397342","Daycare (centre-based or home-based)","Yes","No"
"26-1352194","Care by a relative","Yes","Yes"
"26-1347754","Daycare (centre-based or home-based)","No","No"
"26-2493489","Care in child’s home by a non-relative","No","No"
"26-1394863","Care in child’s home by a non-relative","Yes","No"
"26-3465919","Care in child’s home by a non-relative","No","No"
"26-1405310","Care in someone’s home by a non-relative","Yes","Yes"
"26-3828560","Care by a relative","No","No"
"26-3827449","Care in someone’s home by a non-relative","No","No"
"26-2519945","Care by a relative","Yes","Yes"
"26-2522024","Care in child’s home by a non-relative","Yes","Yes"
"26-1388250","Care by a relative","No","Yes"
"26-3824553","Care in someone’s home by a non-relative","Yes","No"
"26-2989717","Care in child’s home by a non-relative","Yes","Yes"
"26-1377295","Care in someone’s home by a non-relative","Yes","Yes"
"26-3822534","Care in someone’s home by a non-relative","Yes","Yes"
"26-1368188","Daycare (centre-based or home-based)","No","Yes"
"26-3503860","Daycare (centre-based or home-based)","Yes","No"
"26-2983080","Daycare (centre-based or home-based)","No","No"
"26-1405332","Care in someone’s home by a non-relative","Yes","No"
"26-3823611","Daycare (centre-based or home-based)","No","No"
"26-1345037","Care by a relative","No","Yes"
"26-1409505","Care in child’s home by a non-relative","No","No"
"26-2515571","Care by a relative","Yes","No"
"26-3501750","Daycare (centre-based or home-based)","Yes","Yes"
"26-2491913","Care in someone’s home by a non-relative","No","No"
"26-2523198","Care by a relative","Yes","No"
"26-1386794","Care in someone’s home by a non-relative","Yes","Yes"
"26-1405832","Care by a relative","Yes","Yes"
"26-1867725","Daycare (centre-based or home-based)","No","No"
"26-1384336","Daycare (centre-based or home-based)","No","Yes"
"26-2984577","Daycare (centre-based or home-based)","Yes","No"
"26-3821955","Daycare (centre-based or home-based)","No","No"
"26-1383205","Care by a relative","No","No"
"26-1358917","Care by a relative","No","No"
"26-3814018","Care by a relative","No","No"
"26-2981795","Care in someone’s home by a non-relative","No","No"
"26-1367154","Daycare (centre-based or home-based)","No","No"
"26-1362706","Care in child’s home by a non-relative","No","No"
"26-1375576","Daycare (centre-based or home-based)","Yes","Yes"
"26-1382260","Care in child’s home by a non-relative","No","No"
"26-1867641","Care by a relative","Yes","Yes"
"26-3507948","Care by a relative","Yes","Yes"
"26-2536836","Care in child’s home by a non-relative","Yes","No"
"26-1406760","Care in child’s home by a non-relative","No","No"
"26-1862879","Care by a relative","Yes","Yes"
"26-2986372","Care in child’s home by a non-relative","Yes","Yes"
"26-1405482","Care in child’s home by a non-relative","Yes","Yes"
"26-3821707","Care in someone’s home by a non-relative","Yes","No"
"26-1869148","Care in child’s home by a non-relative","Yes","Yes"
"26-3468567","Daycare (centre-based or home-based)","Yes","Yes"
"26-1377975","Care in someone’s home by a non-relative","No","No"
"26-3822634","Daycare (centre-based or home-based)","No","No"
"26-1355968","Care in child’s home by a non-relative","Yes","Yes"
"26-2539417","Care by a relative","No","Yes"
"26-3503581","Care by a relative","Yes","Yes"
"26-1351252","Care in child’s home by a non-relative","Yes","Yes"
"26-1407072","Care in someone’s home by a non-relative","No","No"
"26-3812628","Care by a relative","Yes","No"
"26-3812756","Care by a relative","No","No"
"26-1404821","Daycare (centre-based or home-based)","Yes","Yes"
"26-1399643","Care in child’s home by a non-relative","No","No"
"26-2537137","Daycare (centre-based or home-based)","No","No"
"26-1352772","Daycare (centre-based or home-based)","Yes","Yes"
"26-1394870","Daycare (centre-based or home-based)","No","Yes"
"26-1367963","Care in someone’s home by a non-relative","Yes","No"
"26-2982608","Daycare (centre-based or home-based)","Yes","No"
"26-3825896","Care in someone’s home by a non-relative","No","Yes"
"26-2495220","Daycare (centre-based or home-based)","No","No"
"26-2984420","Daycare (centre-based or home-based)","No","Yes"
"26-3469954","Care in someone’s home by a non-relative","No","No"
"26-2539747","Care in child’s home by a non-relative","Yes","Yes"
"26-3816658","Care in someone’s home by a non-relative","Yes","No"
"26-2533927","Daycare (centre-based or home-based)","Yes","No"
"26-1407988","Care by a relative","Yes","Yes"
"26-2515817","Care in child’s home by a non-relative","No","Yes"
"26-2537542","Care by a relative","No","No"
"26-1344793","Care in someone’s home by a non-relative","No","No"
"26-2984596","Care by a relative","No","No"
"26-3467314","Care in child’s home by a non-relative","Yes","Yes"
"26-2512680","Care by a relative","No","No"
"26-3822188","Care by a relative","No","Yes"
"26-1389111","Daycare (centre-based or home-based)","No","Yes"
"26-1404262","Daycare (centre-based or home-based)","No","Yes"
"26-1365603","Care in someone’s home by a non-relative","No","Yes"
"26-1378554","Care in child’s home by a non-relative","Yes","Yes"
"26-3812555","Care in someone’s home by a non-relative","No","Yes"
"26-1346882","Care in someone’s home by a non-relative","No","No"
"26-3825896","Daycare (centre-based or home-based)","No","Yes"
"26-1393729","Care in child’s home by a non-relative","Yes","Yes"
"26-2536237","Care by a relative","No","Yes"
"26-3812272","Care in someone’s home by a non-relative","Yes","Yes"
"26-1397371","Daycare (centre-based or home-based)","Yes","Yes"
"26-1406413","Care in someone’s home by a non-relative","Yes","No"
"26-1381580","Daycare (centre-based or home-based)","No","Yes"
"26-3463923","Care in someone’s home by a non-relative","No","Yes"
"26-3466804","Care in someone’s home by a non-relative","Yes","Yes"
"26-1393000","Care by a relative","No","Yes"
"26-2526855","Care by a relative","No","No"
"26-1396046","Daycare (centre-based or home-based)","No","Yes"
"26-1397955","Care in someone’s home by a non-relative","Yes","No"
"26-1371138","Care in someone’s home by a non-relative","No","Yes"
"26-3812434","Care in child’s home by a non-relative","No","Yes"
"26-1355458","Daycare (centre-based or home-based)","Yes","No"
"26-2522981","Care in child’s home by a non-relative","No","No"
"26-1368521","Care by a relative","Yes","No"
"26-2512454","Care in child’s home by a non-relative","Yes","No"
"26-3813912","Care by a relative","No","No"
"26-1862062","Care in someone’s home by a non-relative","Yes","No"
"26-1371968","Daycare (centre-based or home-based)","No","No"
"26-3811847","Care in someone’s home by a non-relative","Yes","No"
"26-1359492","Care in child’s home by a non-relative","No","No"
"26-2984942","Care by a relative","Yes","No"
"26-2514006","Care by a relative","Yes","Yes"
"26-2537003","Care by a relative","No","No"
"26-3467595","Daycare (centre-based or home-based)","Yes","No"
"26-2987732","Care in someone’s home by a non-relative","No","Yes"
"26-2517409","Care by a relative","Yes","Yes"
"26-1354336","Care by a relative","No","Yes"
"26-2524648","Daycare (centre-based or home-based)","No","No"
"26-3811968","Care in someone’s home by a non-relative","No","Yes"
"26-1405310","Care by a relative","Yes","Yes"
"26-2526617","Care in child’s home by a non-relative","No","Yes"
"26-2537625","Care by a relative","Yes","No"
"26-3465024","Daycare (centre-based or home-based)","No","No"
"26-3468216","Daycare (centre-based or home-based)","No","Yes"
"26-2527931","Care in child’s home by a non-relative","Yes","Yes"
"26-3461297","Care in someone’s home by a non-relative","Yes","No"
"26-1865005","Care in someone’s home by a non-relative","No","No"
"26-2493099","Care in someone’s home by a non-relative","No","Yes"
"26-2989717","Care by a relative","No","No"
"26-3501983","Daycare (centre-based or home-based)","No","Yes"
"26-3828466","Care by a relative","No","Yes"
"26-1346464","Daycare (centre-based or home-based)","No","No"
"26-1347764","Care in child’s home by a non-relative","No","No"
"26-1403963","Care by a relative","Yes","Yes"
"26-1385398","Care in someone’s home by a non-relative","Yes","Yes"
"26-2493489","Care by a relative","No","Yes"
"26-2511346","Care by a relative","No","Yes"
"26-2533780","Care in someone’s home by a non-relative","Yes","No"
"26-2513149","Care in someone’s home by a non-relative","Yes","Yes"
"26-2519945","Care by a relative","No","Yes"
"26-3467118","Care in someone’s home by a non-relative","No","Yes"
"26-1402750","Care in child’s home by a non-relative","Yes","No"
"26-1353386","Daycare (centre-based or home-based)","Yes","No"
"26-1369229","Care by a relative","No","Yes"
"26-1391505","Care in someone’s home by a non-relative","No","No"
"26-2497393","Care in someone’s home by a non-relative","Yes","No"
"26-1348931","Care in someone’s home by a non-relative","No","No"
"26-1384852","Care by a relative","No","No"
"26-1359403","Care in child’s home by a non-relative","No","Yes"
"26-1347457","Care in someone’s home by a non-relative","No","Yes"
"26-1866645","Care in someone’s home by a non-relative","Yes","Yes"
"26-2496406","Care in someone’s home by a non-relative","No","No"
"26-3463862","Care in someone’s home by a non-relative","No","No"
"26-2512032","Daycare (centre-based or home-based)","No","Yes"
"26-1403112","Care in child’s home by a non-relative","No","Yes"
"26-3822381","Care in someone’s home by a non-relative","No","Yes"
"26-3469901","Care in someone’s home by a non-relative","No","Yes"
"26-1398128","Daycare (centre-based or home-based)","Yes","Yes"
"26-3825283","Care in someone’s home by a non-relative","Yes","No"
"26-2529678","Daycare (centre-based or home-based)","Yes","No"
"26-3461385","Care in someone’s home by a non-relative","No","No"
"26-2526459","Care in someone’s home by a non-relative","Yes","No"
"26-1394863","Care in child’s home by a non-relative","No","Yes"
"26-1863067","Daycare (centre-based or home-based)","No","Yes"
"26-1359127","Care by a relative","Yes","No"
"26-3466628","Care in child’s home by a non-relative","No","Yes"
"26-1398243","Care in child’s home by a non-relative","No","Yes"
"26-1349441","Care in child’s home by a non-relative","No","Yes"
"26-3508043","Care in someone’s home by a non-relative","Yes","No"
"26-1369371","Care in someone’s home by a non-relative","No","No"
"26-1409826","Daycare (centre-based or home-based)","No","Yes"
"26-1352230","Care by a relative","No","No"
"26-3819732","Care in someone’s home by a non-relative","No","Yes"
"26-3815787","Care in child’s home by a non-relative","Yes","Yes"
"26-2985739","Care in someone’s home by a non-relative","No","No"
"26-1376391","Care in someone’s home by a non-relative","Yes","No"
"26-3463060","Care by a relative","Yes","Yes"
"26-1861025","Care in someone’s home by a non-relative","No","No"
"26-2536004","Care in someone’s home by a non-relative","No","Yes"
"26-1404210","Care in child’s home by a non-relative","Yes","Yes"
"26-1361160","Care in child’s home by a non-relative","No","No"
"26-1362706","Care by a relative","No","Yes"
"26-2494995","Care in child’s home by a non-relative","Yes","No"
"26-2498667","Daycare (centre-based or home-based)","Yes","No"
"26-2535676","Care by a relative","Yes","Yes"
"26-1349653","Care in child’s home by a non-relative","No","Yes"
"26-1387944","Care in child’s home by a non-relative","Yes","Yes"
"26-3816251","Care in someone’s home by a non-relative","No","Yes"
"26-1405301","Daycare (centre-based or home-based)","No","No"
"26-1864139","Care by a relative","Yes","No"
"26-2517022","Care by a relative","No","No"
"26-1401026","Care in someone’s home by a non-relative","No","Yes"
"26-3819460","Daycare (centre-based or home-based)","Yes","No"
"26-1368153","Care in someone’s home by a non-relative","Yes","No"
"26-2537491","Care by a relative","Yes","No"
"26-2529217","Care by a relative","Yes","No"
"26-1345125","Care in someone’s home by a non-relative","Yes","No"
"26-2533962","Care in someone’s home by a non-relative","No","No"
"26-2537098","Daycare (centre-based or home-based)","No","No"
"26-3813279","Care in child’s home by a non-relative","Yes","Yes"
"26-3505462","Daycare (centre-based or home-based)","Yes","Yes"
"26-1364393","Care in someone’s home by a non-relative","Yes","Yes"
"26-1868319","Care by a relative","Yes","No"
"26-2514681","Care by a relative","No","Yes"
"26-1367221","Care in someone’s home by a non-relative","Yes","No"
"26-1397536","Care in child’s home by a non-relative","No","Yes"
"26-2497218","Care by a relative","Yes","Yes"
"26-3468266","Care in someone’s home by a non-relative","Yes","Yes"
"26-1386350","Daycare (centre-based or home-based)","Yes","Yes"
"26-2537342","Care by a relative","No","No"
"26-1378044","Care by a relative","No","Yes"
"26-1361062","Care in child’s home by a non-relative","Yes","Yes"
"26-1345350","Care by a relative","No","Yes"
"26-1863466","Daycare (centre-based or home-based)","No","Yes"
"26-1344508","Care in child’s home by a non-relative","Yes","No"
"26-2516245","Daycare (centre-based or home-based)","Yes","No"
"26-1345038","Care by a relative","Yes","Yes"
"26-1402216","Care in someone’s home by a non-relative","Yes","Yes"
"26-1864158","Care by a relative","Yes","Yes"
"26-1356974","Care in someone’s home by a non-relative","Yes","Yes"
"26-3502699","Care in someone’s home by a non-relative","No","Yes"
"26-3466338","Care in child’s home by a non-relative","Yes","No"
"26-2524946","Care in child’s home by a non-relative","Yes","No"
"26-1364994","Care in someone’s home by a non-relative","No","Yes"
"26-1373166","Care in child’s home by a non-relative","Yes","Yes"
"26-1405386","Daycare (centre-based or home-based)","Yes","No"
"26-2535037","Care in child’s home by a non-relative","No","Yes"
"26-2989118","Care by a relative","Yes","No"
"26-2535002","Care in someone’s home by a non-relative","No","No"
"26-2529718","Care in child’s home by a non-relative","No","No"
"26-1863466","Daycare (centre-based or home-based)","No","Yes"
"26-1378044","Care in child’s home by a non-relative","Yes","Yes"
"26-1379083","Daycare (centre-based or home-based)","Yes","No"
"26-1866415","Daycare (centre-based or home-based)","No","No"
"26-3819183","Care by a relative","No","Yes"
"26-1369928","Care by a relative","Yes","No"
"26-2522981","Care in child’s home by a non-relative","No","Yes"
"26-3467393","Care by a relative","Yes","No"
"26-2989758","Care by a relative","No","No"
"26-2531386","Care in child’s home by a non-relative","Yes","No"
"26-1405907","Daycare (centre-based or home-based)","No","No"
"26-3824301","Daycare (centre-based or home-based)","No","Yes"
"26-1395622","Daycare (centre-based or home-based)","No","Yes"
"26-2499355","Daycare (centre-based or home-based)","Yes","Yes"
"26-1861691","Care in someone’s home by a non-relative","No","No"
"26-1376425","Care by a relative","Yes","No"
"26-2495045","Care in someone’s home by a non-relative","Yes","No"
"26-1363265","Care by a relative","No","No"
"26-1357802","Care by a relative","Yes","Yes"
"26-3507216","Daycare (centre-based or home-based)","No","Yes"
"26-1374796","Care in child’s home by a non-relative","No","No"
"26-3469273","Care in someone’s home by a non-relative","No","Yes"
"26-1373528","Daycare (centre-based or home-based)","Yes","Yes"
"26-1406674","Daycare (centre-based or home-based)","No","No"
"26-1377004","Care by a relative","Yes","Yes"
"26-3821931","Daycare (centre-based or home-based)","Yes","Yes"
"26-3813507","Care by a relative","Yes","Yes"
"26-3829469","Care in someone’s home by a non-relative","No","No"
"26-1864889","Care in child’s home by a non-relative","Yes","No"
"26-2531540","Care in someone’s home by a non-relative","Yes","No"
"26-1407226","Care in someone’s home by a non-relative","No","Yes"
"26-1354402","Daycare (centre-based or home-based)","No","Yes"
"26-2498180","Care by a relative","Yes","No"
"26-3463626","Care by a relative","No","Yes"
"26-2982073","Daycare (centre-based or home-based)","No","Yes"
"26-3502592","Daycare (centre-based or home-based)","No","No"
"26-3501709","Care by a relative","Yes","Yes"
"26-2534024","Daycare (centre-based or home-based)","No","No"
"26-1374988","Care by a relative","No","Yes"
"26-2536922","Care by a relative","Yes","Yes"
"26-1395622","Care in child’s home by a non-relative","Yes","No"
"26-1864519","Care in child’s home by a non-relative","No","Yes"
"26-3829992","Care in child’s home by a non-relative","No","Yes"
"26-2511101","Care in child’s home by a non-relative","No","No"
"26-1358537","Care in child’s home by a non-relative","Yes","Yes"
"26-1381214","Care by a relative","Yes","Yes"
"26-1382079","Care in child’s home by a non-relative","Yes","No"
"26-3466364","Daycare (centre-based or home-based)","Yes","Yes"
"26-2498996","Daycare (centre-based or home-based)","Yes","No"
"26-3507599","Care in someone’s home by a non-relative","Yes","No"
"26-2513090","Care by a relative","Yes","Yes"
"26-1868643","Daycare (centre-based or home-based)","No","No"
"26-3816502","Daycare (centre-based or home-based)","Yes","Yes"
"26-2989739","Daycare (centre-based or home-based)","No","No"
"26-2491650","Care in someone’s home by a non-relative","Yes","No"
"26-1396315","Care in child’s home by a non-relative","No","Yes"
"26-2525115","Care in someone’s home by a non-relative","No","Yes"
"26-1369646","Care in child’s home by a non-relative","Yes","Yes"
"26-1365357","Care in someone’s home by a non-relative","Yes","Yes"
"26-2528496","Care in someone’s home by a non-relative","No","No"
"26-3829773","Care in someone’s home by a non-relative","Yes","Yes"
"26-3463680","Care in someone’s home by a non-relative","No","No"
"26-1361623","Care by a relative","Yes","No"
"26-1364486","Daycare (centre-based or home-based)","Yes","No"
"26-1342411","Daycare (centre-based or home-based)","Yes","No"
"26-3461789","Daycare (centre-based or home-based)","Yes","No"
"26-1861076","Care in someone’s home by a non-relative","Yes","Yes"
"26-1409847","Daycare (centre-based or home-based)","Yes","Yes"
"26-3509659","Care by a relative","Yes","Yes"
"26-3507519","Care in child’s home by a non-relative","Yes","No"
"26-1384186","Daycare (centre-based or home-based)","No","Yes"
"26-2512560","Care in someone’s home by a non-relative","No","No"
"26-1357802","Daycare (centre-based or home-based)","No","Yes"
"26-2984766","Care by a relative","No","Yes"
"26-2539077","Care in child’s home by a non-relative","Yes","No"
"26-2981324","Daycare (centre-based or home-based)","Yes","Yes"
"26-1389168","Care in child’s home by a non-relative","Yes","Yes"
"26-1364486","Care by a relative","No","No"
"26-1375963","Care in someone’s home by a non-relative","No","No"
"26-2524317","Daycare (centre-based or home-based)","No","Yes"
"26-1409847","Care in child’s home by a non-relative","No","Yes"
"26-1861127","Daycare (centre-based or home-based)","Yes","No"
"26-1343492","Care by a relative","No","Yes"
"26-1376253","Care in someone’s home by a non-relative","Yes","No"
"26-1866645","Daycare (centre-based or home-based)","No","Yes"
"26-1862728","Daycare (centre-based or home-based)","No","No"
"26-3822188","Care in child’s home by a non-relative","Yes","No"
"26-1398635","Care in child’s home by a non-relative","No","No"
"26-2521417","Care in someone’s home by a non-relative","No","No"
"26-1397172","Daycare (centre-based or home-based)","No","No"
"26-2532689","Care in child’s home by a non-relative","No","No"
"26-2494454","Care by a relative","No","Yes"
"26-1344107","Care in child’s home by a non-relative","No","Yes"
"26-3509745","Care in child’s home by a non-relative","Yes","Yes"
"26-2514542","Care by a relative","Yes","Yes"
"26-1395240","Care in child’s home by a non-relative","No","Yes"
"26-1385864","Daycare (centre-based or home-based)","No","Yes"
"26-1386547","Daycare (centre-based or home-based)","No","Yes"
"26-1364988","Care by a relative","No","Yes"
"26-1352194","Care by a relative","Yes","No"
"26-1356381","Care by a relative","Yes","No"
"26-1346464","Care by a relative","No","No"
"26-1396767","Care in child’s home by a non-relative","No","Yes"
"26-2493058","Care by a relative","Yes","No"
"26-1379881","Daycare (centre-based or home-based)","No","No"
"26-1379881","Daycare (centre-based or home-based)","No","Yes"
"26-2987348","Care in someone’s home by a non-relative","No","Yes"
"26-3813138","Care in child’s home by a non-relative","No","Yes"
"26-2535729","Care by a relative","Yes","Yes"
"26-2498180","Care in someone’s home by a non-relative","Yes","Yes"
"26-3506112","Care by a relative","No","Yes"
"26-1379020","Care in someone’s home by a non-relative","Yes","No"
"26-1408297","Care by a relative","No","Yes"
"26-2988206","Care by a relative","No","Yes"
"26-2527539","Daycare (centre-based or home-based)","No","Yes"
"26-2983317","Care by a relative","Yes","Yes"
"26-2499355","Daycare (centre-based or home-based)","Yes","Yes"
"26-2534376","Care by a relative","Yes","Yes"
"26-1361144","Care by a relative","No","Yes"
"26-1342006","Care by a relative","No","Yes"
"26-1351792","Care by a relative","No","Yes"
"26-3503860","Care by a relative","No","Yes"
"26-2531808","Care by a relative","Yes","No"
"26-1363502","Care in someone’s home by a non-relative","No","No"
"26-2537591","Care in someone’s home by a non-relative","No","No"
"26-3828803","Care in child’s home by a non-relative","Yes","No"
"26-3811041","Daycare (centre-based or home-based)","No","Yes"
"26-3828404","Daycare (centre-based or home-based)","No","No"
"26-1396654","Daycare (centre-based or home-based)","Yes","Yes"
"26-1378331","Care in child’s home by a non-relative","No","Yes"
"26-1865334","Care in child’s home by a non-relative","No","Yes"
"26-1352865","Care by a relative","No","No"
"26-2986631","Daycare (centre-based or home-based)","No","Yes"
"26-2534095","Care in someone’s home by a non-relative","Yes","No"
"26-3819006","Care by a relative","Yes","Yes"
"26-2532814","Care in someone’s home by a non-relative","Yes","No"
"26-1396093","Care in child’s home by a non-relative","Yes","Yes"
"26-2519222","Care in child’s home by a non-relative","No","Yes"
"26-1387033","Care in child’s home by a non-relative","No","No"
"26-1378730","Care in child’s home by a non-relative","No","No"
"26-2982588","Daycare (centre-based or home-based)","Yes","No"
"26-3828558","Care in child’s home by a non-relative","Yes","Yes"
"26-2982829","Care in someone’s home by a non-relative","No","No"
"26-1408703","Care in child’s home by a non-relative","Yes","Yes"
"26-2535729","Care by a relative","Yes","Yes"
"26-1409758","Care by a relative","No","Yes"
"26-3811041","Care in child’s home by a non-relative","No","Yes"
"26-2537374","Care by a relative","No","No"
"26-2989217","Care in someone’s home by a non-relative","No","Yes"
"26-1408829","Care by a relative","No","Yes"
"26-1378772","Daycare (centre-based or home-based)","No","Yes"
"26-1868475","Care in someone’s home by a non-relative","No","Yes"
"26-1356873","Care by a relative","No","No"
"26-2529718","Care in child’s home by a non-relative","No","Yes"
"26-2523921","Care in child’s home by a non-relative","Yes","Yes"
"26-3461385","Care in child’s home by a non-relative","Yes","No"
"26-2521417","Daycare (centre-based or home-based)","Yes","Yes"
"26-2521202","Care in someone’s home by a non-relative","Yes","Yes"
"26-3501464","Care by a relative","No","No"
"26-2491650","Care by a relative","No","No"
"26-3507299","Care in child’s home by a non-relative","No","No"
"26-3821581","Care in someone’s home by a non-relative","No","No"
"26-3462714","Care in someone’s home by a non-relative","No","No"
"26-2493489","Care in child’s home by a non-relative","Yes","Yes"
"26-2986209","Care in child’s home by a non-relative","No","Yes"
"26-1347698","Care by a relative","Yes","No"
"26-1868743","Care by a relative","No","Yes"
"26-2519026","Care by a relative","Yes","Yes"
"26-1347754","Care by a relative","Yes","No"
"26-1382781","Care in child’s home by a non-relative","No","No"
"26-1373698","Care in child’s home by a non-relative","Yes","Yes"
"26-2521645","Care in someone’s home by a non-relative","Yes","Yes"
"26-1372100","Care by a relative","Yes","No"
"26-1397955","Care by a relative","No","Yes"
"26-1387121","Care in someone’s home by a non-relative","No","No"
"26-1377589","Daycare (centre-based or home-based)","No","Yes"
"26-1385776","Care in child’s home by a non-relative","No","No"
"26-1366879","Care by a relative","Yes","Yes"
"26-1389338","Care in someone’s home by a non-relative","No","No"
"26-1383741","Care by a relative","Yes","No"
"26-1406754","Care by a relative","Yes","Yes"
"26-3824101","Care by a relative","No","No"
"26-3829791","Care in child’s home by a non-relative","Yes","No"
"26-1344014","Daycare (centre-based or home-based)","Yes","No"
"26-3824153","Care in child’s home by a non-relative","No","No"
"26-3465919","Care in someone’s home by a non-relative","Yes","Yes"
"26-1863221","Care in child’s home by a non-relative","Yes","Yes"
"26-2513090","Care in child’s home by a non-relative","Yes","Yes"
"26-3811314","Care by a relative","No","No"
"26-1352990","Daycare (centre-based or home-based)","No","Yes"
"26-2499445","Care in child’s home by a non-relative","No","Yes"
"26-1368696","Care in someone’s home by a non-relative","Yes","No"
"26-3813096","Care by a relative","Yes","Yes"
"26-1373540","Daycare (centre-based or home-based)","Yes","Yes"
"26-2513162","Care in child’s home by a non-relative","Yes","Yes"
"26-1349829","Care by a relative","No","No"
"26-3828816","Care in someone’s home by a non-relative","Yes","No"
"26-2511889","Daycare (centre-based or home-based)","No","No"
"26-1406674","Care in someone’s home by a non-relative","Yes","Yes"
"26-2528168","Care in someone’s home by a non-relative","No","No"
"26-1395900","Care in child’s home by a non-relative","Yes","Yes"
"26-1342234","Daycare (centre-based or home-based)","Yes","Yes"
"26-2531933","Daycare (centre-based or home-based)","Yes","Yes"
"26-3505978","Care in someone’s home by a non-relative","Yes","No"
