"subject","instanceid","FAMILY_INCOM"
"26-1344107",506072,"$100,000 to $149,999"
"26-1344107",837913,"$100,000 to $149,999"
"26-1344107",1726491,"$100,000 to $149,999"
"26-1344136",569593,"$150,000 or more"
"26-1344178",53724,"$100,000 to $149,999"
"26-1344221",453568,"$100,000 to $149,999"
"26-1344225",546302,"$150, 000 to $199, 999"
"26-1344225",2291557,"$150, 000 to $199, 999"
"26-1344227",356417,"$100,000 to $149,999"
"26-1344227",1746139,"$100,000 to $149,999"
"26-1344261",840307,"$300, 000 to $499, 999"
"26-1344388",888651,"$200, 000 to $299, 999"
"26-1344459",2420024,"$150, 000 to $199, 999"
"26-1344459",2515848,"$150, 000 to $199, 999"
"26-1344508",996005,"$100,000 to $149,999"
"26-1344508",1129726,"$100,000 to $149,999"
"26-1344611",2584364,"$40,000 to $49,999"
"26-1344668",1192767,"$100,000 to $149,999"
"26-1344668",2361225,"$100,000 to $149,999"
"26-1344772",2236330,"$20,000 to $29,999"
"26-1344793",969772,"$200, 000 to $299, 999"
"26-1344793",1161443,"$200, 000 to $299, 999"
"26-1344793",1937213,"$200, 000 to $299, 999"
"26-1344831",1574087,"$200, 000 to $299, 999"
"26-1344831",2376595,"$200, 000 to $299, 999"
"26-1344918",170326,"$150,000 or more"
"26-1344930",782179,"$200, 000 to $299, 999"
"26-1344930",995823,"$200, 000 to $299, 999"
"26-1344930",1103353,"$200, 000 to $299, 999"
"26-1344930",1178092,"$200, 000 to $299, 999"
"26-1344930",1863617,"$200, 000 to $299, 999"
"26-1345005",1821561,"$200, 000 to $299, 999"
"26-1345005",2636943,"$200, 000 to $299, 999"
"26-1345037",187642,"$30,000 to $39,999"
"26-1345037",1052437,"$30,000 to $39,999"
"26-1345038",1502279,"Less than $10,000"
"26-1345038",1879400,"Less than $10,000"
"26-1345038",2110117,"Less than $10,000"
"26-1345038",2175831,"Less than $10,000"
"26-1345125",144156,"$300, 000 to $499, 999"
"26-1345125",199104,"$300, 000 to $499, 999"
"26-1345125",834170,"$300, 000 to $499, 999"
"26-1345125",1414817,"$300, 000 to $499, 999"
"26-1345164",1256046,"$80,000 to $99,999"
"26-1345259",468231,"$150,000 or more"
"26-1345259",2587308,"$150,000 or more"
"26-1345350",991278,"$60,000 to $79,999"
"26-1345350",2161946,"$60,000 to $79,999"
"26-1345350",2382884,"$60,000 to $79,999"
"26-1345350",2490327,"$60,000 to $79,999"
"26-1345538",2089448,"$100,000 to $149,999"
"26-1345590",540744,"$60,000 to $79,999"
"26-1345590",1053950,"$60,000 to $79,999"
"26-1345590",2352059,"$60,000 to $79,999"
"26-1345590",2435104,"$60,000 to $79,999"
"26-1345880",155956,"$80,000 to $99,999"
"26-1345880",1010460,"$80,000 to $99,999"
"26-1345929",184598,"$150, 000 to $199, 999"
"26-1345929",684651,"$150, 000 to $199, 999"
"26-1345929",1845161,"$150, 000 to $199, 999"
"26-1345929",2323870,"$150, 000 to $199, 999"
"26-1346142",2342284,"$150,000 or more"
"26-1346151",1105553,"$200, 000 to $299, 999"
"26-1346151",1246491,"$200, 000 to $299, 999"
"26-1346151",1641496,"$200, 000 to $299, 999"
"26-1346211",2223698,"$80,000 to $99,999"
"26-1346464",1068924,"$60,000 to $79,999"
"26-1346464",1465786,"$60,000 to $79,999"
"26-1346481",1477509,"$80,000 to $99,999"
"26-1346481",1705164,"$80,000 to $99,999"
"26-1346620",1415618,"$80,000 to $99,999"
"26-1346620",1587872,"$80,000 to $99,999"
"26-1346620",2164117,"$80,000 to $99,999"
"26-1346635",2317588,"$150, 000 to $199, 999"
"26-1346635",2463007,"$150, 000 to $199, 999"
"26-1346657",44070,"$80,000 to $99,999"
"26-1346657",846726,"$80,000 to $99,999"
"26-1346657",1258793,"$80,000 to $99,999"
"26-1346693",1611046,"$100,000 to $149,999"
"26-1346693",2293720,"$100,000 to $149,999"
"26-1346693",2612111,"$100,000 to $149,999"
"26-1346732",1687037,"$30,000 to $39,999"
"26-1346732",2137271,"$30,000 to $39,999"
"26-1346799",865203,"$100,000 to $149,999"
"26-1346799",1054682,"$100,000 to $149,999"
"26-1346799",1119626,"$100,000 to $149,999"
"26-1346799",2606279,"$100,000 to $149,999"
"26-1346877",92631,"$40,000 to $49,999"
"26-1346877",1723601,"$40,000 to $49,999"
"26-1346882",966072,"$100,000 to $149,999"
"26-1346882",1106717,"$100,000 to $149,999"
"26-1346882",1496510,"$100,000 to $149,999"
"26-1346953",1784906,"$60,000 to $79,999"
"26-1346953",2561948,"$60,000 to $79,999"
"26-1347073",1318424,"$150, 000 to $199, 999"
"26-1347073",1392933,"$150, 000 to $199, 999"
"26-1347073",1438303,"$150, 000 to $199, 999"
"26-1347117",16316,"$20,000 to $29,999"
"26-1347117",66870,"$20,000 to $29,999"
"26-1347117",570132,"$20,000 to $29,999"
"26-1347117",1518409,"$20,000 to $29,999"
"26-1347117",1959275,"$20,000 to $29,999"
"26-1347117",2313726,"$20,000 to $29,999"
"26-1347248",664445,"$150, 000 to $199, 999"
"26-1347248",1067988,"$150, 000 to $199, 999"
"26-1347248",1305743,"$150, 000 to $199, 999"
"26-1347248",1698731,"$150, 000 to $199, 999"
"26-1347248",2397955,"$150, 000 to $199, 999"
"26-1347402",602617,"$60,000 to $79,999"
"26-1347402",2468279,"$60,000 to $79,999"
"26-1347422",363225,"Less than $10,000"
"26-1347422",377967,"Less than $10,000"
"26-1347422",981779,"Less than $10,000"
"26-1347457",331523,"$200, 000 to $299, 999"
"26-1347457",1865637,"$200, 000 to $299, 999"
"26-1347457",2568528,"$200, 000 to $299, 999"
"26-1347659",1325628,"$100,000 to $149,999"
"26-1347698",127586,"$200, 000 to $299, 999"
"26-1347698",2393321,"$200, 000 to $299, 999"
"26-1347754",217883,"$60,000 to $79,999"
"26-1347754",574193,"$60,000 to $79,999"
"26-1347754",932379,"$60,000 to $79,999"
"26-1347754",2297241,"$60,000 to $79,999"
"26-1347764",329007,"$100,000 to $149,999"
"26-1347764",486448,"$100,000 to $149,999"
"26-1347764",1748080,"$100,000 to $149,999"
"26-1348129",2299388,"$100,000 to $149,999"
"26-1348377",1390426,"$80,000 to $99,999"
"26-1348377",2068286,"$80,000 to $99,999"
"26-1348541",1176626,"$150, 000 to $199, 999"
"26-1348541",1954807,"$150, 000 to $199, 999"
"26-1348544",334606,"$100,000 to $149,999"
"26-1348544",1086015,"$100,000 to $149,999"
"26-1348544",1109914,"$100,000 to $149,999"
"26-1348544",1978859,"$100,000 to $149,999"
"26-1348550",273209,"$100,000 to $149,999"
"26-1348561",799471,"$200, 000 to $299, 999"
"26-1348561",1130307,"$200, 000 to $299, 999"
"26-1348673",1682955,"$10,000 to $19,999"
"26-1348773",900072,"$100,000 to $149,999"
"26-1348827",1166387,"$150,000 or more"
"26-1348827",1603518,"$150,000 or more"
"26-1348854",409286,"$150, 000 to $199, 999"
"26-1348854",917906,"$150, 000 to $199, 999"
"26-1348859",591329,"$150, 000 to $199, 999"
"26-1348931",193956,"$80,000 to $99,999"
"26-1348931",675041,"$80,000 to $99,999"
"26-1348931",1097345,"$80,000 to $99,999"
"26-1348931",1134022,"$20,000 to $29,999"
"26-1348931",1168205,"$20,000 to $29,999"
"26-1348931",1729664,"$20,000 to $29,999"
"26-1348931",1869054,"$80,000 to $99,999"
"26-1348931",1897674,"$20,000 to $29,999"
"26-1348972",1597757,"$150,000 or more"
"26-1349360",595106,"$60,000 to $79,999"
"26-1349441",1239110,"$100,000 to $149,999"
"26-1349441",1963348,"$100,000 to $149,999"
"26-1349441",1973622,"$100,000 to $149,999"
"26-1349441",2202326,"$100,000 to $149,999"
"26-1349450",638767,"$50,000 to $59,999"
"26-1349450",864261,"$50,000 to $59,999"
"26-1349452",543097,"$150,000 or more"
"26-1349452",2336656,"$150,000 or more"
"26-1349452",2425214,"$150,000 or more"
"26-1349452",2450272,"$150,000 or more"
"26-1349452",2598178,"$150,000 or more"
"26-1349503",843376,"$20,000 to $29,999"
"26-1349503",1717531,"$20,000 to $29,999"
"26-1349626",1233171,"$150, 000 to $199, 999"
"26-1349651",1808766,"$100,000 to $149,999"
"26-1349653",884581,"$150, 000 to $199, 999"
"26-1349653",1045372,"$150, 000 to $199, 999"
"26-1349653",2159409,"$150, 000 to $199, 999"
"26-1349653",2186006,"$150, 000 to $199, 999"
"26-1349678",2189607,"$150,000 or more"
"26-1349829",63468,"$80,000 to $99,999"
"26-1349829",185992,"$80,000 to $99,999"
"26-1349829",1342927,"$80,000 to $99,999"
"26-1349829",1865897,"$80,000 to $99,999"
"26-1349829",2071816,"$80,000 to $99,999"
"26-1351252",765864,"$40,000 to $49,999"
"26-1351252",2009433,"$40,000 to $49,999"
"26-1351325",790442,"$200, 000 to $299, 999"
"26-1351325",1081065,"$200, 000 to $299, 999"
"26-1351358",208863,"$100,000 to $149,999"
"26-1351358",2512405,"$100,000 to $149,999"
"26-1351593",1702898,"$60,000 to $79,999"
"26-1351593",1875129,"$60,000 to $79,999"
"26-1351758",394102,"$500, 000 or more"
"26-1351758",843691,"$500, 000 or more"
"26-1351758",1766246,"$500, 000 or more"
"26-1351758",1815932,"$500, 000 or more"
"26-1351764",324043,"$100,000 to $149,999"
"26-1351768",260616,"$80,000 to $99,999"
"26-1351783",2071465,"$80,000 to $99,999"
"26-1351783",2127811,"$80,000 to $99,999"
"26-1351792",248415,"$80,000 to $99,999"
"26-1351792",964043,"$80,000 to $99,999"
"26-1351792",1686780,"$80,000 to $99,999"
"26-1351792",2196681,"$80,000 to $99,999"
"26-1351792",2638101,"$80,000 to $99,999"
"26-1351849",725723,"$150, 000 to $199, 999"
"26-1351849",2079957,"$150, 000 to $199, 999"
"26-1351869",835672,"$20,000 to $29,999"
"26-1351869",2339158,"$20,000 to $29,999"
"26-1351907",236742,"$200, 000 to $299, 999"
"26-1351907",567279,"$200, 000 to $299, 999"
"26-1351907",1278174,"$200, 000 to $299, 999"
"26-1351907",2352202,"$200, 000 to $299, 999"
"26-1351976",325806,"$150,000 or more"
"26-1352051",657223,"$50,000 to $59,999"
"26-1352051",2065952,"$50,000 to $59,999"
"26-1352070",979432,"$150,000 or more"
"26-1352070",1916883,"$150,000 or more"
"26-1352117",862213,"$80,000 to $99,999"
"26-1352117",1854133,"$80,000 to $99,999"
"26-1352117",2221282,"$80,000 to $99,999"
"26-1352117",2226468,"$80,000 to $99,999"
"26-1352117",2285427,"$80,000 to $99,999"
"26-1352194",1304874,"$300, 000 to $499, 999"
"26-1352194",1341201,"$300, 000 to $499, 999"
"26-1352194",1423145,"$300, 000 to $499, 999"
"26-1352194",1901028,"$300, 000 to $499, 999"
"26-1352230",173618,"$200, 000 to $299, 999"
"26-1352230",312205,"$10,000 to $19,999"
"26-1352230",829449,"$10,000 to $19,999"
"26-1352230",2311950,"$200, 000 to $299, 999"
"26-1352230",2497295,"$200, 000 to $299, 999"
"26-1352286",234937,"$150,000 or more"
"26-1352286",495009,"$150,000 or more"
"26-1352286",1469216,"$150,000 or more"
"26-1352403",619422,"$200, 000 to $299, 999"
"26-1352403",933728,"$200, 000 to $299, 999"
"26-1352403",2029907,"$200, 000 to $299, 999"
"26-1352464",998254,"$30,000 to $39,999"
"26-1352464",1698944,"$30,000 to $39,999"
"26-1352464",2416302,"$30,000 to $39,999"
"26-1352464",2459312,"$30,000 to $39,999"
"26-1352558",1216827,"$150, 000 to $199, 999"
"26-1352558",1801105,"$150, 000 to $199, 999"
"26-1352558",2088087,"$150, 000 to $199, 999"
"26-1352558",2248345,"$150, 000 to $199, 999"
"26-1352723",366538,"$200, 000 to $299, 999"
"26-1352723",918006,"$200, 000 to $299, 999"
"26-1352772",426456,"$200, 000 to $299, 999"
"26-1352772",1050113,"$200, 000 to $299, 999"
"26-1352772",1112492,"$200, 000 to $299, 999"
"26-1352772",2543320,"$200, 000 to $299, 999"
"26-1352772",2591601,"$200, 000 to $299, 999"
"26-1352800",1349891,"$150, 000 to $199, 999"
"26-1352800",1668358,"$150, 000 to $199, 999"
"26-1352800",1942098,"$150, 000 to $199, 999"
"26-1352832",753511,"$60,000 to $79,999"
"26-1352832",1194753,"$60,000 to $79,999"
"26-1352865",104905,"$80,000 to $99,999"
"26-1352865",1132635,"$80,000 to $99,999"
"26-1352865",1218673,"$80,000 to $99,999"
"26-1352865",2313596,"$80,000 to $99,999"
"26-1352959",1387672,"$40,000 to $49,999"
"26-1352959",1510516,"$40,000 to $49,999"
"26-1352990",994130,"$100,000 to $149,999"
"26-1352990",1170646,"$100,000 to $149,999"
"26-1353010",1053913,"$150,000 or more"
"26-1353250",503812,"$100,000 to $149,999"
"26-1353250",1424345,"$100,000 to $149,999"
"26-1353250",2070081,"$100,000 to $149,999"
"26-1353250",2386166,"$100,000 to $149,999"
"26-1353386",27858,"$200, 000 to $299, 999"
"26-1353386",612559,"$200, 000 to $299, 999"
"26-1353386",2585907,"$200, 000 to $299, 999"
"26-1353402",145214,"$300, 000 to $499, 999"
"26-1353555",631967,"$150, 000 to $199, 999"
"26-1353555",1533642,"$150, 000 to $199, 999"
"26-1353555",2155212,"$150, 000 to $199, 999"
"26-1353555",2299092,"$150, 000 to $199, 999"
"26-1353579",98573,"$80,000 to $99,999"
"26-1353579",979805,"$80,000 to $99,999"
"26-1353579",1882372,"$80,000 to $99,999"
"26-1353658",654719,"$300, 000 to $499, 999"
"26-1353697",1204844,"$100,000 to $149,999"
"26-1353697",2474624,"$100,000 to $149,999"
"26-1353814",18176,"$80,000 to $99,999"
"26-1353814",1442356,"$80,000 to $99,999"
"26-1353814",1829396,"$80,000 to $99,999"
"26-1353814",2415736,"$80,000 to $99,999"
"26-1353867",51797,"$100,000 to $149,999"
"26-1353867",120353,"$100,000 to $149,999"
"26-1353867",1266379,"$100,000 to $149,999"
"26-1353867",2442709,"$100,000 to $149,999"
"26-1353870",741917,"$100,000 to $149,999"
"26-1353870",975036,"$100,000 to $149,999"
"26-1353870",1373438,"$100,000 to $149,999"
"26-1353870",1909085,"$100,000 to $149,999"
"26-1353870",2130519,"$100,000 to $149,999"
"26-1353870",2256174,"$100,000 to $149,999"
"26-1353938",1328278,"$150, 000 to $199, 999"
"26-1353938",1626985,"$150, 000 to $199, 999"
"26-1353938",1941451,"$150, 000 to $199, 999"
"26-1354001",163082,"$100,000 to $149,999"
"26-1354001",2149258,"$100,000 to $149,999"
"26-1354001",2484152,"$100,000 to $149,999"
"26-1354233",2589174,"$10,000 to $19,999"
"26-1354244",103516,"$150, 000 to $199, 999"
"26-1354244",137829,"$150, 000 to $199, 999"
"26-1354263",2511121,"$150,000 or more"
"26-1354336",1387833,"$60,000 to $79,999"
"26-1354336",2165274,"$60,000 to $79,999"
"26-1354336",2276266,"$60,000 to $79,999"
"26-1354336",2352204,"$60,000 to $79,999"
"26-1354402",579951,"$100,000 to $149,999"
"26-1354402",782000,"$100,000 to $149,999"
"26-1354402",971069,"$100,000 to $149,999"
"26-1354431",787771,"$60,000 to $79,999"
"26-1354431",1941956,"$60,000 to $79,999"
"26-1354431",2147415,"$60,000 to $79,999"
"26-1354450",281082,"$100,000 to $149,999"
"26-1354516",90349,"$60,000 to $79,999"
"26-1354547",2441749,"$150,000 or more"
"26-1354616",116754,"$50,000 to $59,999"
"26-1354616",925645,"$50,000 to $59,999"
"26-1354616",1289897,"$50,000 to $59,999"
"26-1354643",1630615,"$200, 000 to $299, 999"
"26-1354643",2341737,"$200, 000 to $299, 999"
"26-1354643",2404996,"$200, 000 to $299, 999"
"26-1354643",2528028,"$200, 000 to $299, 999"
"26-1354643",2616586,"$200, 000 to $299, 999"
"26-1354921",970908,"$20,000 to $29,999"
"26-1354921",1444010,"$20,000 to $29,999"
"26-1354921",1579882,"$20,000 to $29,999"
"26-1354921",2072258,"$20,000 to $29,999"
"26-1354928",1018175,"$20,000 to $29,999"
"26-1354928",2579241,"$20,000 to $29,999"
"26-1355172",643999,"$150, 000 to $199, 999"
"26-1355177",732829,"$50,000 to $59,999"
"26-1355177",787359,"$50,000 to $59,999"
"26-1355177",1416208,"$50,000 to $59,999"
"26-1355177",2083528,"$50,000 to $59,999"
"26-1355177",2279964,"$50,000 to $59,999"
"26-1355177",2589233,"$50,000 to $59,999"
"26-1355209",1312317,"$20,000 to $29,999"
"26-1355235",1262140,"$300, 000 to $499, 999"
"26-1355248",146630,"$100,000 to $149,999"
"26-1355248",898827,"$100,000 to $149,999"
"26-1355248",1854305,"$100,000 to $149,999"
"26-1355248",2167246,"$100,000 to $149,999"
"26-1355458",507034,"$150,000 or more"
"26-1355458",945204,"$150,000 or more"
"26-1355458",1225229,"$150,000 or more"
"26-1355458",1302529,"$150,000 or more"
"26-1355458",1929897,"$150,000 or more"
"26-1355458",2165902,"$150,000 or more"
"26-1355542",240800,"$80,000 to $99,999"
"26-1355542",793831,"$80,000 to $99,999"
"26-1355542",1639712,"$80,000 to $99,999"
"26-1355542",1955099,"$80,000 to $99,999"
"26-1355571",7550,"$300, 000 to $499, 999"
"26-1355571",383107,"$300, 000 to $499, 999"
"26-1355572",67065,"$30,000 to $39,999"
"26-1355573",40042,"$150,000 or more"
"26-1355573",1372950,"$150,000 or more"
"26-1355675",623593,"$150,000 or more"
"26-1355675",869533,"$150,000 or more"
"26-1355675",1427228,"$150,000 or more"
"26-1355693",1957480,"$150, 000 to $199, 999"
"26-1355736",765609,"$30,000 to $39,999"
"26-1355736",1044350,"$30,000 to $39,999"
"26-1355736",1430786,"$30,000 to $39,999"
"26-1355736",2579690,"$30,000 to $39,999"
"26-1355763",2627582,"$80,000 to $99,999"
"26-1355768",458276,"$30,000 to $39,999"
"26-1355768",2422310,"$30,000 to $39,999"
"26-1355773",809847,"$300, 000 to $499, 999"
"26-1355799",225407,"$150,000 or more"
"26-1355799",2495762,"$150,000 or more"
"26-1355819",1537924,"$100,000 to $149,999"
"26-1355861",1974710,"$10,000 to $19,999"
"26-1355862",499887,"$60,000 to $79,999"
"26-1355862",1425991,"$60,000 to $79,999"
"26-1355862",2398581,"$60,000 to $79,999"
"26-1355862",2492741,"$60,000 to $79,999"
"26-1355968",577635,"$80,000 to $99,999"
"26-1355968",1039018,"$80,000 to $99,999"
"26-1355968",1289325,"$80,000 to $99,999"
"26-1355968",1317547,"$80,000 to $99,999"
"26-1355968",1775091,"$80,000 to $99,999"
"26-1355968",2038172,"$80,000 to $99,999"
"26-1356173",132682,"$150, 000 to $199, 999"
"26-1356173",415236,"$150, 000 to $199, 999"
"26-1356173",1301726,"$150, 000 to $199, 999"
"26-1356173",2502033,"$150, 000 to $199, 999"
"26-1356270",1298130,"$100,000 to $149,999"
"26-1356270",1326436,"$100,000 to $149,999"
"26-1356270",2506126,"$100,000 to $149,999"
"26-1356329",330483,"$150, 000 to $199, 999"
"26-1356329",339755,"$150, 000 to $199, 999"
"26-1356329",473190,"$150, 000 to $199, 999"
"26-1356329",2026772,"$150, 000 to $199, 999"
"26-1356329",2178868,"$150, 000 to $199, 999"
"26-1356329",2413967,"$150, 000 to $199, 999"
"26-1356381",616030,"$80,000 to $99,999"
"26-1356381",643284,"$80,000 to $99,999"
"26-1356381",2197226,"$80,000 to $99,999"
"26-1356395",631115,"$100,000 to $149,999"
"26-1356395",1649418,"$100,000 to $149,999"
"26-1356403",125149,"$80,000 to $99,999"
"26-1356403",424337,"$80,000 to $99,999"
"26-1356403",1056487,"$80,000 to $99,999"
"26-1356403",1755234,"$80,000 to $99,999"
"26-1356531",1617665,"$150, 000 to $199, 999"
"26-1356615",313447,"$80,000 to $99,999"
"26-1356615",979060,"$80,000 to $99,999"
"26-1356615",1393243,"$80,000 to $99,999"
"26-1356675",1136806,"$300, 000 to $499, 999"
"26-1356675",1664250,"$300, 000 to $499, 999"
"26-1356744",233725,"$60,000 to $79,999"
"26-1356766",483600,"$150, 000 to $199, 999"
"26-1356766",1188449,"$150, 000 to $199, 999"
"26-1356766",1730862,"$150, 000 to $199, 999"
"26-1356845",866100,"$80,000 to $99,999"
"26-1356845",1033038,"$80,000 to $99,999"
"26-1356873",2019935,"$150, 000 to $199, 999"
"26-1356873",2368666,"$150, 000 to $199, 999"
"26-1356873",2382910,"$150, 000 to $199, 999"
"26-1356906",2355442,"$150,000 or more"
"26-1356906",2578101,"$150,000 or more"
"26-1356909",374407,"$80,000 to $99,999"
"26-1356909",640807,"$80,000 to $99,999"
"26-1356947",1807985,"$40,000 to $49,999"
"26-1356947",2467795,"$40,000 to $49,999"
"26-1356956",1600294,"$80,000 to $99,999"
"26-1356956",2219738,"$80,000 to $99,999"
"26-1356956",2401988,"$80,000 to $99,999"
"26-1356960",1027689,"$150, 000 to $199, 999"
"26-1356974",102391,"$200, 000 to $299, 999"
"26-1356974",2206644,"$200, 000 to $299, 999"
"26-1357001",542757,"$300, 000 to $499, 999"
"26-1357043",1027798,"$150, 000 to $199, 999"
"26-1357043",1317197,"$150, 000 to $199, 999"
"26-1357077",743345,"$80,000 to $99,999"
"26-1357077",1046374,"$80,000 to $99,999"
"26-1357077",1822157,"$80,000 to $99,999"
"26-1357088",435617,"$60,000 to $79,999"
"26-1357088",1055162,"$60,000 to $79,999"
"26-1357088",2156519,"$60,000 to $79,999"
"26-1357158",850108,"$300, 000 to $499, 999"
"26-1357158",1215198,"$300, 000 to $499, 999"
"26-1357158",1737254,"$300, 000 to $499, 999"
"26-1357201",696347,"$150, 000 to $199, 999"
"26-1357201",843234,"$150, 000 to $199, 999"
"26-1357230",2081910,"$150,000 or more"
"26-1357242",595414,"$150,000 or more"
"26-1357242",646375,"$150,000 or more"
"26-1357421",1252832,"$80,000 to $99,999"
"26-1357421",1283517,"$80,000 to $99,999"
"26-1357430",436188,"$300, 000 to $499, 999"
"26-1357430",648379,"$300, 000 to $499, 999"
"26-1357430",2136137,"$300, 000 to $499, 999"
"26-1357545",1315626,"$200, 000 to $299, 999"
"26-1357765",873006,"$300, 000 to $499, 999"
"26-1357765",1880558,"$300, 000 to $499, 999"
"26-1357765",2340951,"$300, 000 to $499, 999"
"26-1357802",302329,"$20,000 to $29,999"
"26-1357802",746873,"$20,000 to $29,999"
"26-1357802",2323710,"$20,000 to $29,999"
"26-1357866",1680772,"$60,000 to $79,999"
"26-1357931",1200315,"$500, 000 or more"
"26-1357931",1812406,"$500, 000 or more"
"26-1357931",2537798,"$500, 000 or more"
"26-1358015",532661,"$100,000 to $149,999"
"26-1358019",1601499,"$150,000 or more"
"26-1358019",2004903,"$150,000 or more"
"26-1358214",192266,"$100,000 to $149,999"
"26-1358214",1061256,"$100,000 to $149,999"
"26-1358214",1542019,"$100,000 to $149,999"
"26-1358214",2137632,"$100,000 to $149,999"
"26-1358292",96860,"$300, 000 to $499, 999"
"26-1358292",553445,"$300, 000 to $499, 999"
"26-1358292",744744,"$300, 000 to $499, 999"
"26-1358292",1061941,"$300, 000 to $499, 999"
"26-1358292",1257199,"$300, 000 to $499, 999"
"26-1358292",2246449,"$300, 000 to $499, 999"
"26-1358312",465138,"$200, 000 to $299, 999"
"26-1358312",598236,"$200, 000 to $299, 999"
"26-1358312",1378860,"$200, 000 to $299, 999"
"26-1358537",917167,"$150,000 or more"
"26-1358537",1119889,"$150,000 or more"
"26-1358537",1562641,"$150,000 or more"
"26-1358552",981269,"$100,000 to $149,999"
"26-1358689",1406996,"$100,000 to $149,999"
"26-1358799",272754,"$50,000 to $59,999"
"26-1358799",406853,"$50,000 to $59,999"
"26-1358799",613465,"$50,000 to $59,999"
"26-1358799",1532064,"$50,000 to $59,999"
"26-1358799",2255464,"$50,000 to $59,999"
"26-1358857",712444,"$150, 000 to $199, 999"
"26-1358857",1228345,"$150, 000 to $199, 999"
"26-1358897",1857618,"$100,000 to $149,999"
"26-1358917",1101631,"$150, 000 to $199, 999"
"26-1358921",41671,"$200, 000 to $299, 999"
"26-1358921",2010614,"$200, 000 to $299, 999"
